TEAM_ID,season_start_year,season,TEAM_NAME,OFF_RATING,DEF_RATING,NET_RATING,PACE,AST_RATIO,TM_TOV_PCT,EFG_PCT,FF_EFG_PCT,FTA_RATE,FF_TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,CLUTCH_NET_RATING,CONFERENCE,CONF_RANK,WINS,LOSSES,WinPCT,made_playoff_bracket,target_a_top10_conf,target_b_made_bracket,OFF_RATING_PCTILE,DEF_RATING_PCTILE,NET_RATING_PCTILE,PACE_PCTILE,AST_RATIO_PCTILE,TM_TOV_PCT_PCTILE,EFG_PCT_PCTILE,FF_EFG_PCT_PCTILE,FTA_RATE_PCTILE,FF_TM_TOV_PCT_PCTILE,OREB_PCT_PCTILE,OPP_EFG_PCT_PCTILE,OPP_FTA_RATE_PCTILE,OPP_TOV_PCT_PCTILE,OPP_OREB_PCT_PCTILE,CLUTCH_NET_RATING_PCTILE,LEAGUE_RANK,is_bottom_n,NEXT_OFF_RATING_PCTILE,NEXT_DEF_RATING_PCTILE,NEXT_NET_RATING_PCTILE,NEXT_PACE_PCTILE,NEXT_AST_RATIO_PCTILE,NEXT_TM_TOV_PCT_PCTILE,NEXT_EFG_PCT_PCTILE,NEXT_FF_EFG_PCT_PCTILE,NEXT_FTA_RATE_PCTILE,NEXT_FF_TM_TOV_PCT_PCTILE,NEXT_OREB_PCT_PCTILE,NEXT_OPP_EFG_PCT_PCTILE,NEXT_OPP_FTA_RATE_PCTILE,NEXT_OPP_TOV_PCT_PCTILE,NEXT_OPP_OREB_PCT_PCTILE,NEXT_CLUTCH_NET_RATING_PCTILE,NEXT_target_a_top10_conf,NEXT_target_b_made_bracket,DELTA_OFF_RATING_PCTILE,DELTA_DEF_RATING_PCTILE,DELTA_NET_RATING_PCTILE,DELTA_PACE_PCTILE,DELTA_AST_RATIO_PCTILE,DELTA_TM_TOV_PCT_PCTILE,DELTA_EFG_PCT_PCTILE,DELTA_FF_EFG_PCT_PCTILE,DELTA_FTA_RATE_PCTILE,DELTA_FF_TM_TOV_PCT_PCTILE,DELTA_OREB_PCT_PCTILE,DELTA_OPP_EFG_PCT_PCTILE,DELTA_OPP_FTA_RATE_PCTILE,DELTA_OPP_TOV_PCT_PCTILE,DELTA_OPP_OREB_PCT_PCTILE,DELTA_CLUTCH_NET_RATING_PCTILE,NEXT_ROOKIES_on_roster_count,NEXT_ROOKIES_best_pick_on_roster,NEXT_ROOKIES_max_minutes,NEXT_ROOKIES_total_minutes,NEXT_ROOKIES_avg_minutes_per_game,NEXT_ROOKIES_max_minutes_per_game,CURRENT_ROOKIES_on_roster_count,CURRENT_ROOKIES_avg_minutes_per_game,CURRENT_ROOKIES_max_minutes_per_game,star_added,ROSTER_pct_min_center,ROSTER_pct_min_forward,ROSTER_pct_min_guard,ROSTER_pct_min_early_career,ROSTER_pct_min_mid_career,ROSTER_pct_min_rookie,ROSTER_pct_min_veteran,ROSTER_pct_min_drafted_non_lottery,ROSTER_pct_min_lottery,ROSTER_pct_min_undrafted,ROSTER_avg_height_in,ROSTER_avg_age_top5,ROSTER_continuity_pct
1610612737,2018,2018-19,Atlanta Hawks,107.5,113.1,-5.5,104.56,17.7,0.162,0.522,0.522,0.255,0.162,0.284,0.541,0.313,0.143,0.282,4.7,East,12,29,53,0.354,False,False,False,0.2413793103448276,0.9310344827586207,0.13793103448275862,1.0,0.4827586206896552,1.0,0.4482758620689655,0.4482758620689655,0.41379310344827586,1.0,0.7586206896551724,0.8620689655172413,0.9655172413793104,0.6206896551724138,0.7931034482758621,0.7586206896551724,26,True,0.1724137931034483,0.9310344827586207,0.06896551724137931,0.7931034482758621,0.27586206896551724,0.896551724137931,0.1724137931034483,0.1724137931034483,0.3793103448275862,0.896551724137931,0.4827586206896552,0.7931034482758621,0.9655172413793104,0.4827586206896552,0.9655172413793104,0.41379310344827586,False,False,-0.06896551724137931,0.0,-0.06896551724137931,-0.2068965517241379,-0.20689655172413796,-0.10344827586206895,-0.27586206896551724,-0.27586206896551724,-0.03448275862068967,-0.10344827586206895,-0.2758620689655172,-0.06896551724137923,0.0,-0.13793103448275862,0.1724137931034483,-0.3448275862068965,3,4.0,2017.935,4281.208333333333,23.830472427476735,32.03071428571428,4,22.071152237588542,30.90471193415638,False,0.1835905200381477,0.4207226290439052,0.3956868509179472,0.3682732865227604,0.26816725284718396,0.2918327112091973,0.07172674942085844,0.3739229045319512,0.21865797310339005,0.4074191223646588,78.40118928448835,22.8,0.4710868631464684
1610612740,2019,2019-20,New Orleans Pelicans,110.5,111.8,-1.3,103.89,18.4,0.156,0.539,0.539,0.256,0.156,0.287,0.532,0.268,0.139,0.271,-23.3,West,13,30,42,0.417,False,False,False,0.5172413793103449,0.6896551724137931,0.3448275862068966,0.896551724137931,0.7931034482758621,0.9655172413793104,0.8275862068965517,0.8275862068965517,0.3103448275862069,0.9655172413793104,0.896551724137931,0.5172413793103449,0.5517241379310345,0.3448275862068966,0.5862068965517241,0.034482758620689655,21,True,0.6551724137931034,0.7586206896551724,0.41379310344827586,0.6896551724137931,0.6551724137931034,0.6896551724137931,0.4482758620689655,0.4482758620689655,0.9655172413793104,0.6896551724137931,1.0,0.8275862068965517,0.27586206896551724,0.3793103448275862,0.06896551724137931,0.6896551724137931,False,False,0.13793103448275856,0.06896551724137923,0.06896551724137928,-0.2068965517241379,-0.13793103448275867,-0.27586206896551724,-0.3793103448275862,-0.3793103448275862,0.6551724137931034,-0.27586206896551724,0.10344827586206895,0.31034482758620685,-0.27586206896551724,0.03448275862068961,-0.5172413793103448,0.6551724137931035,2,13.0,904.4433333333334,1604.1416666666669,19.30726176697531,16.748950617283953,4,18.662197224069146,16.870546875,False,0.08885112266225727,0.29339462313188824,0.6177542542058544,0.4627868617326449,0.25382166762287245,0.13417441193344806,0.14921705871103463,0.18236699177663032,0.33714926372155285,0.4804837445018168,78.0048936581778,27.0,0.3002112258558042
1610612764,2019,2019-20,Washington Wizards,110.2,114.7,-4.5,103.38,17.6,0.136,0.523,0.523,0.27,0.136,0.262,0.558,0.297,0.156,0.288,-16.8,East,9,25,47,0.347,False,True,False,0.4827586206896552,0.9655172413793104,0.1724137931034483,0.8620689655172413,0.4827586206896552,0.1724137931034483,0.3103448275862069,0.3103448275862069,0.7241379310344828,0.1724137931034483,0.3793103448275862,0.9655172413793104,0.896551724137931,0.896551724137931,0.896551724137931,0.10344827586206896,23,True,0.4482758620689655,0.6551724137931034,0.27586206896551724,1.0,0.41379310344827586,0.5172413793103449,0.3448275862068966,0.3448275862068966,0.9310344827586207,0.5172413793103449,0.20689655172413793,0.4827586206896552,0.9310344827586207,0.5172413793103449,0.4827586206896552,0.7241379310344828,True,True,-0.03448275862068967,-0.31034482758620696,0.10344827586206895,0.13793103448275867,-0.06896551724137934,0.3448275862068966,0.03448275862068967,0.03448275862068967,0.2068965517241379,0.3448275862068966,-0.17241379310344826,-0.4827586206896552,0.03448275862068961,-0.3793103448275862,-0.41379310344827586,0.6206896551724138,3,9.0,1256.8766666666668,1573.0866666666666,12.041365075253964,23.275493827160496,2,20.623536931818183,30.083993055555556,True,0.1640877585814635,0.32455012998363303,0.5113621114349033,0.3814403197094497,0.30940053083447194,0.10382932588485197,0.20532982357122634,0.32464149611823223,0.13519607355437332,0.5401624303273944,77.49454011850416,25.4,0.347093311662319
1610612754,2021,2021-22,Indiana Pacers,111.9,115.5,-3.6,98.55,18.1,0.145,0.531,0.531,0.239,0.145,0.31,0.552,0.256,0.133,0.275,-20.2,East,13,25,57,0.305,False,False,False,0.41379310344827586,0.9310344827586207,0.20689655172413793,0.41379310344827586,0.5517241379310345,0.7931034482758621,0.3448275862068966,0.3448275862068966,0.27586206896551724,0.7931034482758621,0.9310344827586207,0.9310344827586207,0.6896551724137931,0.3103448275862069,0.5172413793103449,0.034482758620689655,26,True,0.3103448275862069,0.8620689655172413,0.1724137931034483,0.8620689655172413,0.7931034482758621,0.7241379310344828,0.4827586206896552,0.4827586206896552,0.5172413793103449,0.7241379310344828,0.5862068965517241,0.7586206896551724,0.8275862068965517,0.7241379310344828,1.0,0.3793103448275862,False,False,-0.10344827586206895,-0.06896551724137934,-0.03448275862068964,0.44827586206896547,0.24137931034482762,-0.06896551724137934,0.13793103448275862,0.13793103448275862,0.24137931034482762,-0.06896551724137934,-0.3448275862068966,-0.1724137931034483,0.13793103448275856,0.41379310344827586,0.48275862068965514,0.3448275862068965,2,6.0,2222.38,4295.911666666667,28.069570085470087,28.492051282051282,5,20.508154419191918,28.0150303030303,False,0.11557204525592882,0.17829044383977558,0.7061375109042956,0.3293905034082522,0.3616890163506454,0.20957384342206728,0.09934663681903518,0.1378840298682963,0.4264211677011901,0.4356948024305137,77.27598773142441,25.2,0.29991356981712863
1610612741,2017,2017-18,Chicago Bulls,103.4,110.5,-7.0,98.65,17.3,0.141,0.497,0.497,0.216,0.141,0.256,0.542,0.233,0.136,0.233,-1.3,East,13,27,55,0.329,False,False,False,0.06896551724137931,0.9310344827586207,0.06896551724137931,0.6551724137931034,0.5517241379310345,0.3103448275862069,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.3103448275862069,0.27586206896551724,0.9655172413793104,0.2413793103448276,0.13793103448275862,0.0,0.4482758620689655,24,True,0.034482758620689655,0.8275862068965517,0.10344827586206896,0.3448275862068966,0.10344827586206896,0.6206896551724138,0.06896551724137931,0.06896551724137931,0.13793103448275862,0.6206896551724138,0.0,0.8620689655172413,0.27586206896551724,0.41379310344827586,0.5172413793103449,0.1724137931034483,False,False,-0.034482758620689655,-0.10344827586206895,0.034482758620689655,-0.31034482758620685,-0.4482758620689655,0.3103448275862069,0.034482758620689655,0.034482758620689655,0.10344827586206896,0.3103448275862069,-0.27586206896551724,-0.10344827586206906,0.03448275862068964,0.27586206896551724,0.5172413793103449,-0.27586206896551724,2,7.0,1109.8,2004.415,22.77744318181818,25.222727272727273,3,16.96208197167756,29.706176470588236,False,0.09146715200584024,0.4317533286625393,0.4767795193316206,0.5930845322914502,0.2384162401041089,0.15945122448521662,0.009048003119224475,0.04093609522808832,0.28019341311400725,0.6788704916579044,79.06994251475963,25.8,0.47179553546507386
1610612745,2022,2022-23,Houston Rockets,110.5,118.6,-8.1,99.74,16.0,0.162,0.516,0.516,0.285,0.162,0.344,0.564,0.275,0.132,0.271,-8.1,West,14,22,60,0.268,False,False,False,0.10344827586206896,0.9655172413793104,0.034482758620689655,0.5517241379310345,0.0,1.0,0.0,0.0,0.7586206896551724,1.0,1.0,0.9310344827586207,0.6206896551724138,0.2413793103448276,0.27586206896551724,0.20689655172413793,28,True,0.3448275862068966,0.3103448275862069,0.41379310344827586,0.5862068965517241,0.034482758620689655,0.20689655172413793,0.10344827586206896,0.10344827586206896,0.7241379310344828,0.20689655172413793,0.7586206896551724,0.13793103448275862,0.9655172413793104,0.5172413793103449,0.3793103448275862,0.27586206896551724,False,False,0.24137931034482762,-0.6551724137931034,0.3793103448275862,0.03448275862068961,0.034482758620689655,-0.7931034482758621,0.10344827586206896,0.10344827586206896,-0.03448275862068961,-0.7931034482758621,-0.24137931034482762,-0.7931034482758621,0.3448275862068966,0.27586206896551724,0.10344827586206895,0.06896551724137931,2,4.0,1388.5316666666668,2268.8650000000002,20.56308424845573,22.395672043010755,3,22.176512032453928,31.01957805907173,True,0.01586836058634349,0.6270513967354518,0.3570802426782046,0.6211125133891593,0.05199519723726213,0.3171432433200005,0.009749046053578294,0.5951512460882094,0.2879549951382523,0.1168937587735383,78.47456388266251,21.2,0.7087952278600512
1610612759,2022,2022-23,San Antonio Spurs,109.7,119.6,-9.9,102.07,18.7,0.148,0.525,0.525,0.229,0.148,0.299,0.576,0.26,0.135,0.291,-10.4,West,15,22,60,0.268,False,False,False,0.034482758620689655,1.0,0.0,0.9655172413793104,0.7586206896551724,0.7931034482758621,0.13793103448275862,0.13793103448275862,0.034482758620689655,0.7931034482758621,0.7931034482758621,1.0,0.3103448275862069,0.3448275862068966,0.7931034482758621,0.10344827586206896,28,True,0.13793103448275862,0.6896551724137931,0.1724137931034483,0.9310344827586207,0.9310344827586207,0.7931034482758621,0.20689655172413793,0.20689655172413793,0.06896551724137931,0.7931034482758621,0.2413793103448276,0.6551724137931034,0.10344827586206896,0.27586206896551724,0.41379310344827586,0.1724137931034483,False,False,0.10344827586206896,-0.31034482758620685,0.1724137931034483,-0.034482758620689724,0.1724137931034483,0.0,0.06896551724137931,0.06896551724137931,0.034482758620689655,0.0,-0.5517241379310345,-0.3448275862068966,-0.20689655172413796,-0.06896551724137934,-0.37931034482758624,0.06896551724137932,1,1.0,2106.235,2106.235,29.665281690140848,29.665281690140848,4,20.536888735326233,23.478737373737374,False,0.029028186868359805,0.5970673322778238,0.37390448085381645,0.4092334380654848,0.24692428393950694,0.2504813249994231,0.0933609529955852,0.5724425294414955,0.2799205874230606,0.1476368831354439,77.7555236533135,22.6,0.5789409286846252
1610612747,2021,2021-22,Los Angeles Lakers,110.0,112.8,-2.9,100.47,17.3,0.142,0.537,0.537,0.259,0.142,0.256,0.54,0.257,0.138,0.28,-3.6,West,11,33,49,0.402,False,False,False,0.27586206896551724,0.6896551724137931,0.27586206896551724,0.7931034482758621,0.2413793103448276,0.6206896551724138,0.5172413793103449,0.5172413793103449,0.7586206896551724,0.6206896551724138,0.1724137931034483,0.6896551724137931,0.7241379310344828,0.5517241379310345,0.6896551724137931,0.3448275862068966,23,True,0.3793103448275862,0.3793103448275862,0.4827586206896552,0.896551724137931,0.41379310344827586,0.3448275862068966,0.41379310344827586,0.41379310344827586,0.9655172413793104,0.3448275862068966,0.27586206896551724,0.1724137931034483,0.0,0.034482758620689655,0.3103448275862069,0.5862068965517241,True,True,0.10344827586206895,-0.31034482758620696,0.20689655172413796,0.10344827586206895,0.17241379310344826,-0.27586206896551724,-0.103448275862069,-0.103448275862069,0.206896551724138,-0.27586206896551724,0.10344827586206895,-0.5172413793103449,-0.7241379310344828,-0.5172413793103449,-0.37931034482758624,0.2413793103448275,1,35.0,512.425,512.425,12.498170731707315,12.498170731707315,1,23.240683060109287,23.240683060109287,False,0.04922415629109521,0.36756829622017057,0.5832075474887342,0.17236424425385471,0.23588682823597817,0.0,0.5917489275101672,0.07745311977066129,0.10843734259162223,0.8141095376377165,77.49110627875608,30.6,0.2535240038268195
1610612753,2016,2016-17,Orlando Magic,103.7,110.3,-6.5,96.9,16.8,0.137,0.489,0.489,0.246,0.137,0.267,0.523,0.263,0.134,0.274,-10.8,East,13,29,53,0.354,False,False,False,0.06896551724137931,0.7931034482758621,0.034482758620689655,0.5517241379310345,0.3793103448275862,0.2413793103448276,0.034482758620689655,0.034482758620689655,0.10344827586206896,0.2413793103448276,0.3448275862068966,0.7241379310344828,0.3793103448275862,0.2413793103448276,0.3793103448275862,0.13793103448275862,26,True,0.1724137931034483,0.6551724137931034,0.1724137931034483,0.6206896551724138,0.6896551724137931,0.5517241379310345,0.27586206896551724,0.27586206896551724,0.3103448275862069,0.5517241379310345,0.1724137931034483,0.5517241379310345,0.3793103448275862,0.4827586206896552,0.9310344827586207,0.3448275862068966,False,False,0.10344827586206898,-0.13793103448275867,0.13793103448275862,0.06896551724137934,0.31034482758620696,0.31034482758620685,0.24137931034482757,0.24137931034482757,0.20689655172413796,0.31034482758620685,-0.1724137931034483,-0.1724137931034483,0.0,0.2413793103448276,0.5517241379310345,0.20689655172413796,3,6.0,1020.305,2134.1233333333334,16.68606042934896,16.456532258064517,0,,,False,0.11598791495454851,0.3099189619856141,0.5740931230598375,0.3440023787529838,0.4146902225383759,0.17310973695288015,0.06819766175576003,0.005541966450085745,0.0,0.9944580335499144,77.62884387040725,24.0,0.0
1610612762,2024,2024-25,Utah Jazz,110.2,119.4,-9.2,100.85,17.9,0.17,0.533,0.533,0.252,0.17,0.311,0.559,0.243,0.116,0.295,-21.1,West,15,17,65,0.207,False,False,False,0.20689655172413793,1.0,0.06896551724137931,0.8275862068965517,0.20689655172413793,1.0,0.3103448275862069,0.3103448275862069,0.7586206896551724,1.0,0.7931034482758621,0.896551724137931,0.4827586206896552,0.0,0.5172413793103449,0.0,30,True,0.27586206896551724,0.9655172413793104,0.10344827586206896,0.9655172413793104,0.8620689655172413,0.7241379310344828,0.3448275862068966,0.3448275862068966,0.6896551724137931,0.7241379310344828,0.41379310344827586,1.0,0.9310344827586207,0.3793103448275862,0.5172413793103449,0.3793103448275862,False,False,0.06896551724137931,-0.03448275862068961,0.034482758620689655,0.13793103448275867,0.6551724137931034,-0.27586206896551724,0.03448275862068967,0.03448275862068967,-0.06896551724137923,-0.27586206896551724,-0.37931034482758624,0.10344827586206895,0.44827586206896547,0.3793103448275862,0.0,0.3793103448275862,1,5.0,1987.6433333333334,1987.6433333333334,27.60615740740741,27.60615740740741,3,22.74254804381847,25.902910798122065,True,0.1745644442668478,0.33302049766381153,0.4924150580693407,0.3767584033879661,0.34857343177254096,0.22555554903535135,0.04911261580414145,0.6071700020487616,0.22287523484428862,0.16995476310694987,79.2564121863218,22.2,0.6504393526185664
