stat,median_delta_jumped,median_delta_stayed,raw_separation,higher_is_better,improvement,p10,median,p90
CLUTCH_NET_RATING,0.3448275862068966,0.03448275862068964,0.31034482758620696,True,0.31034482758620696,-0.2793103448275862,0.10344827586206896,0.5551724137931038
NET_RATING,0.3448275862068966,0.034482758620689655,0.3103448275862069,True,0.3103448275862069,-0.10344827586206896,0.10344827586206895,0.5206896551724142
DEF_RATING,-0.31034482758620696,-0.034482758620689724,-0.27586206896551724,False,0.27586206896551724,-0.5206896551724137,-0.10344827586206895,0.17241379310344818
OFF_RATING,0.2413793103448276,0.0,0.2413793103448276,True,0.2413793103448276,-0.21379310344827587,0.06896551724137931,0.5206896551724142
OPP_EFG_PCT,-0.2413793103448276,-0.06896551724137923,-0.17241379310344837,False,0.17241379310344837,-0.48620689655172417,-0.10344827586206903,0.24482758620689687
EFG_PCT,0.20689655172413796,0.03448275862068967,0.1724137931034483,True,0.1724137931034483,-0.24482758620689654,0.05172413793103449,0.48620689655172444
FF_EFG_PCT,0.20689655172413796,0.03448275862068967,0.1724137931034483,True,0.1724137931034483,-0.24482758620689654,0.05172413793103449,0.48620689655172444
TM_TOV_PCT,-0.1724137931034483,0.0,-0.1724137931034483,False,0.1724137931034483,-0.4551724137931034,-0.017241379310344807,0.3103448275862069
FF_TM_TOV_PCT,-0.1724137931034483,0.0,-0.1724137931034483,False,0.1724137931034483,-0.4551724137931034,-0.017241379310344807,0.3103448275862069
OPP_OREB_PCT,-0.13793103448275867,0.0,-0.13793103448275867,False,0.13793103448275867,-0.5206896551724137,0.0,0.38275862068965544
OREB_PCT,0.10344827586206895,0.0,0.10344827586206895,True,0.10344827586206895,-0.34827586206896555,0.034482758620689724,0.4827586206896552
FTA_RATE,0.10344827586206895,0.034482758620689655,0.0689655172413793,True,0.0689655172413793,-0.34482758620689646,0.05172413793103445,0.41724137931034505
AST_RATIO,0.06896551724137932,0.034482758620689655,0.03448275862068967,True,0.03448275862068967,-0.3137931034482759,0.034482758620689655,0.3827586206896555
OPP_FTA_RATE,-0.034482758620689655,0.0,-0.034482758620689655,False,0.034482758620689655,-0.3137931034482759,0.0,0.44827586206896547
OPP_TOV_PCT,0.0,0.03448275862068961,-0.03448275862068961,True,-0.03448275862068961,-0.3793103448275862,0.03448275862068961,0.4172413793103451
PACE,-0.03448275862068961,0.034482758620689724,-0.06896551724137934,,-0.06896551724137934,-0.3448275862068966,0.03448275862068964,0.34482758620689646
