stat,min,p10,median,p90,max
CURRENT_ROOKIES_on_roster_count,0.0,0.0,2.0,4.0,6.0
CURRENT_ROOKIES_max_minutes_per_game,3.8882638888888885,7.809112990196079,19.230330925534417,30.331576436781607,35.36876126126126
CURRENT_ROOKIES_avg_minutes_per_game,3.8882638888888885,7.620106951871659,16.562248619911674,24.101882551929922,34.977399999999996
NEXT_ROOKIES_on_roster_count,0.0,0.0,1.0,3.1000000000000227,6.0
NEXT_ROOKIES_max_minutes_per_game,3.8882638888888885,7.936231944444446,19.4469140625,30.466189583333335,35.36876126126126
NEXT_ROOKIES_avg_minutes_per_game,3.8882638888888885,7.809112990196079,16.562248619911674,24.375814975058013,34.977399999999996
